"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]"
"Kumlinge kirkonkylä","2020","1","1","00:00","9.3","280"
"Kumlinge kirkonkylä","2020","1","1","01:00","7.1","263"
"Kumlinge kirkonkylä","2020","1","1","02:00","7.9","278"
"Kumlinge kirkonkylä","2020","1","1","03:00","8.4","279"
"Kumlinge kirkonkylä","2020","1","1","04:00","8.7","282"
"Kumlinge kirkonkylä","2020","1","1","05:00","7.3","275"
"Kumlinge kirkonkylä","2020","1","1","06:00","6.6","267"
"Kumlinge kirkonkylä","2020","1","1","07:00","5.4","260"
"Kumlinge kirkonkylä","2020","1","1","08:00","5.9","244"
"Kumlinge kirkonkylä","2020","1","1","09:00","6.1","244"
"Kumlinge kirkonkylä","2020","1","1","10:00","9","248"
"Kumlinge kirkonkylä","2020","1","1","11:00","7.6","255"
"Kumlinge kirkonkylä","2020","1","1","12:00","6.5","260"
"Kumlinge kirkonkylä","2020","1","1","13:00","6.7","268"
"Kumlinge kirkonkylä","2020","1","1","14:00","5.8","264"
"Kumlinge kirkonkylä","2020","1","1","15:00","5.9","252"
"Kumlinge kirkonkylä","2020","1","1","16:00","7.1","244"
"Kumlinge kirkonkylä","2020","1","1","17:00","6.8","242"
"Kumlinge kirkonkylä","2020","1","1","18:00","7","246"
"Kumlinge kirkonkylä","2020","1","1","19:00","7.2","257"
"Kumlinge kirkonkylä","2020","1","1","20:00","6","264"
"Kumlinge kirkonkylä","2020","1","1","21:00","7.7","251"
"Kumlinge kirkonkylä","2020","1","1","22:00","7.8","250"
"Kumlinge kirkonkylä","2020","1","1","23:00","8.3","257"
"Kumlinge kirkonkylä","2020","1","2","00:00","9.1","264"
"Kumlinge kirkonkylä","2020","1","2","01:00","7.3","266"
"Kumlinge kirkonkylä","2020","1","2","02:00","5.9","262"
"Kumlinge kirkonkylä","2020","1","2","03:00","5.9","268"
"Kumlinge kirkonkylä","2020","1","2","04:00","5.3","248"
"Kumlinge kirkonkylä","2020","1","2","05:00","6.9","245"
"Kumlinge kirkonkylä","2020","1","2","06:00","6.6","239"
"Kumlinge kirkonkylä","2020","1","2","07:00","6.6","243"
"Kumlinge kirkonkylä","2020","1","2","08:00","6.5","240"
"Kumlinge kirkonkylä","2020","1","2","09:00","7.3","239"
"Kumlinge kirkonkylä","2020","1","2","10:00","7.9","235"
"Kumlinge kirkonkylä","2020","1","2","11:00","8.5","241"
"Kumlinge kirkonkylä","2020","1","2","12:00","7","243"
"Kumlinge kirkonkylä","2020","1","2","13:00","6.7","230"
"Kumlinge kirkonkylä","2020","1","2","14:00","6.9","225"
"Kumlinge kirkonkylä","2020","1","2","15:00","8.5","234"
"Kumlinge kirkonkylä","2020","1","2","16:00","9.4","230"
"Kumlinge kirkonkylä","2020","1","2","17:00","11.1","238"
"Kumlinge kirkonkylä","2020","1","2","18:00","8.6","239"
"Kumlinge kirkonkylä","2020","1","2","19:00","8.4","231"
"Kumlinge kirkonkylä","2020","1","2","20:00","8","224"
"Kumlinge kirkonkylä","2020","1","2","21:00","10.4","222"
"Kumlinge kirkonkylä","2020","1","2","22:00","12","221"
"Kumlinge kirkonkylä","2020","1","2","23:00","12","222"
"Kumlinge kirkonkylä","2020","1","3","00:00","11.4","224"
"Kumlinge kirkonkylä","2020","1","3","01:00","10.2","220"
"Kumlinge kirkonkylä","2020","1","3","02:00","10.6","223"
"Kumlinge kirkonkylä","2020","1","3","03:00","10","218"
"Kumlinge kirkonkylä","2020","1","3","04:00","10.2","215"
"Kumlinge kirkonkylä","2020","1","3","05:00","11.8","215"
"Kumlinge kirkonkylä","2020","1","3","06:00","13.5","214"
"Kumlinge kirkonkylä","2020","1","3","07:00","13.7","214"
"Kumlinge kirkonkylä","2020","1","3","08:00","13.8","213"
"Kumlinge kirkonkylä","2020","1","3","09:00","13.3","210"
"Kumlinge kirkonkylä","2020","1","3","10:00","13.5","214"
"Kumlinge kirkonkylä","2020","1","3","11:00","12.9","216"
"Kumlinge kirkonkylä","2020","1","3","12:00","13","216"
"Kumlinge kirkonkylä","2020","1","3","13:00","11.4","219"
"Kumlinge kirkonkylä","2020","1","3","14:00","8.5","227"
"Kumlinge kirkonkylä","2020","1","3","15:00","7.7","245"
"Kumlinge kirkonkylä","2020","1","3","16:00","8.9","264"
"Kumlinge kirkonkylä","2020","1","3","17:00","9.3","266"
"Kumlinge kirkonkylä","2020","1","3","18:00","10","271"
"Kumlinge kirkonkylä","2020","1","3","19:00","9.9","268"
