"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]"
"Raahe Nahkiainen","2020","1","1","00:00","7.4","306"
"Raahe Nahkiainen","2020","1","1","01:00","7.1","304"
"Raahe Nahkiainen","2020","1","1","02:00","8.1","294"
"Raahe Nahkiainen","2020","1","1","03:00","8.6","284"
"Raahe Nahkiainen","2020","1","1","04:00","7.8","282"
"Raahe Nahkiainen","2020","1","1","05:00","7.8","263"
"Raahe Nahkiainen","2020","1","1","06:00","8.1","248"
"Raahe Nahkiainen","2020","1","1","07:00","6.1","238"
"Raahe Nahkiainen","2020","1","1","08:00","7.3","214"
"Raahe Nahkiainen","2020","1","1","09:00","10.8","217"
"Raahe Nahkiainen","2020","1","1","10:00","10.9","214"
"Raahe Nahkiainen","2020","1","1","11:00","9.2","227"
"Raahe Nahkiainen","2020","1","1","12:00","11","243"
"Raahe Nahkiainen","2020","1","1","13:00","13.2","248"
"Raahe Nahkiainen","2020","1","1","14:00","14.5","254"
"Raahe Nahkiainen","2020","1","1","15:00","14.2","250"
"Raahe Nahkiainen","2020","1","1","16:00","13.8","254"
"Raahe Nahkiainen","2020","1","1","17:00","15.3","255"
"Raahe Nahkiainen","2020","1","1","18:00","17.8","255"
"Raahe Nahkiainen","2020","1","1","19:00","18.6","250"
"Raahe Nahkiainen","2020","1","1","20:00","18.2","247"
"Raahe Nahkiainen","2020","1","1","21:00","19.2","249"
"Raahe Nahkiainen","2020","1","1","22:00","19.3","245"
"Raahe Nahkiainen","2020","1","1","23:00","18.4","240"
"Raahe Nahkiainen","2020","1","2","00:00","17","239"
"Raahe Nahkiainen","2020","1","2","01:00","15.4","235"
"Raahe Nahkiainen","2020","1","2","02:00","14.9","231"
"Raahe Nahkiainen","2020","1","2","03:00","12.5","231"
"Raahe Nahkiainen","2020","1","2","04:00","15.7","236"
"Raahe Nahkiainen","2020","1","2","05:00","16.7","239"
"Raahe Nahkiainen","2020","1","2","06:00","16.2","244"
"Raahe Nahkiainen","2020","1","2","07:00","16.4","248"
"Raahe Nahkiainen","2020","1","2","08:00","14","247"
"Raahe Nahkiainen","2020","1","2","09:00","13.7","247"
"Raahe Nahkiainen","2020","1","2","10:00","12.1","226"
"Raahe Nahkiainen","2020","1","2","11:00","13.8","235"
"Raahe Nahkiainen","2020","1","2","12:00","17","239"
"Raahe Nahkiainen","2020","1","2","13:00","18","240"
"Raahe Nahkiainen","2020","1","2","14:00","18.2","239"
"Raahe Nahkiainen","2020","1","2","15:00","17.3","242"
"Raahe Nahkiainen","2020","1","2","16:00","14.9","239"
"Raahe Nahkiainen","2020","1","2","17:00","13.7","239"
"Raahe Nahkiainen","2020","1","2","18:00","14.4","232"
"Raahe Nahkiainen","2020","1","2","19:00","15.9","228"
"Raahe Nahkiainen","2020","1","2","20:00","17.1","230"
"Raahe Nahkiainen","2020","1","2","21:00","17.8","226"
"Raahe Nahkiainen","2020","1","2","22:00","17.1","227"
"Raahe Nahkiainen","2020","1","2","23:00","18.1","228"
"Raahe Nahkiainen","2020","1","3","00:00","18.5","224"
"Raahe Nahkiainen","2020","1","3","01:00","18.4","222"
"Raahe Nahkiainen","2020","1","3","02:00","17.7","227"
"Raahe Nahkiainen","2020","1","3","03:00","17.8","231"
"Raahe Nahkiainen","2020","1","3","04:00","18.6","235"
"Raahe Nahkiainen","2020","1","3","05:00","17.8","229"
"Raahe Nahkiainen","2020","1","3","06:00","18.4","229"
"Raahe Nahkiainen","2020","1","3","07:00","18.2","230"
"Raahe Nahkiainen","2020","1","3","08:00","19.4","227"
"Raahe Nahkiainen","2020","1","3","09:00","19.7","230"
"Raahe Nahkiainen","2020","1","3","10:00","18.9","233"
"Raahe Nahkiainen","2020","1","3","11:00","17.8","238"
"Raahe Nahkiainen","2020","1","3","12:00","15.2","243"
"Raahe Nahkiainen","2020","1","3","13:00","13.1","252"
"Raahe Nahkiainen","2020","1","3","14:00","14.1","255"
"Raahe Nahkiainen","2020","1","3","15:00","14.9","263"
"Raahe Nahkiainen","2020","1","3","16:00","13.9","270"
"Raahe Nahkiainen","2020","1","3","17:00","16.7","264"
"Raahe Nahkiainen","2020","1","3","18:00","17.7","261"
"Raahe Nahkiainen","2020","1","3","19:00","18.1","256"
"Raahe Nahkiainen","2020","1","3","20:00","16.9","260"
"Raahe Nahkiainen","2020","1","3","21:00","17.9","263"
"Raahe Nahkiainen","2020","1","3","22:00","17.7","258"
"Raahe Nahkiainen","2020","1","3","23:00","17.9","258"
"Raahe Nahkiainen","2020","1","4","00:00","18.6","250"
"Raahe Nahkiainen","2020","1","4","01:00","16.8","238"
"Raahe Nahkiainen","2020","1","4","02:00","17.6","229"
"Raahe Nahkiainen","2020","1","4","03:00","18.9","233"
"Raahe Nahkiainen","2020","1","4","04:00","17.8","222"
"Raahe Nahkiainen","2020","1","4","05:00","17","228"
"Raahe Nahkiainen","2020","1","4","06:00","13.7","231"
"Raahe Nahkiainen","2020","1","4","07:00","10","303"
"Raahe Nahkiainen","2020","1","4","08:00","12.7","354"
"Raahe Nahkiainen","2020","1","4","09:00","13.7","3"
"Raahe Nahkiainen","2020","1","4","10:00","12","7"
"Raahe Nahkiainen","2020","1","4","11:00","12","3"
"Raahe Nahkiainen","2020","1","4","12:00","11.9","354"
"Raahe Nahkiainen","2020","1","4","13:00","13.8","355"
"Raahe Nahkiainen","2020","1","4","14:00","16","358"
"Raahe Nahkiainen","2020","1","4","15:00","16.1","351"
"Raahe Nahkiainen","2020","1","4","16:00","16.3","346"
"Raahe Nahkiainen","2020","1","4","17:00","18.9","352"
"Raahe Nahkiainen","2020","1","4","18:00","20.2","356"
"Raahe Nahkiainen","2020","1","4","19:00","22.5","6"
"Raahe Nahkiainen","2020","1","4","20:00","22.3","13"
"Raahe Nahkiainen","2020","1","4","21:00","19.7","16"
"Raahe Nahkiainen","2020","1","4","22:00","18.3","21"
"Raahe Nahkiainen","2020","1","4","23:00","16.9","17"
"Raahe Nahkiainen","2020","1","5","00:00","14.7","21"
"Raahe Nahkiainen","2020","1","5","01:00","11.5","16"
"Raahe Nahkiainen","2020","1","5","02:00","9.4","7"
"Raahe Nahkiainen","2020","1","5","03:00","7.4","1"
"Raahe Nahkiainen","2020","1","5","04:00","6.6","336"
"Raahe Nahkiainen","2020","1","5","05:00","6.6","316"
"Raahe Nahkiainen","2020","1","5","06:00","6.8","304"
"Raahe Nahkiainen","2020","1","5","07:00","6.6","302"
"Raahe Nahkiainen","2020","1","5","08:00","5.6","274"
"Raahe Nahkiainen","2020","1","5","09:00","6.6","251"
"Raahe Nahkiainen","2020","1","5","10:00","8.3","246"
"Raahe Nahkiainen","2020","1","5","11:00","10.8","248"
"Raahe Nahkiainen","2020","1","5","12:00","11.1","253"
"Raahe Nahkiainen","2020","1","5","13:00","10","249"
"Raahe Nahkiainen","2020","1","5","14:00","11.1","240"
"Raahe Nahkiainen","2020","1","5","15:00","12.1","234"
"Raahe Nahkiainen","2020","1","5","16:00","13.2","221"
"Raahe Nahkiainen","2020","1","5","17:00","13.6","214"
"Raahe Nahkiainen","2020","1","5","18:00","13.7","212"
"Raahe Nahkiainen","2020","1","5","19:00","13.8","209"
"Raahe Nahkiainen","2020","1","5","20:00","14.8","205"
"Raahe Nahkiainen","2020","1","5","21:00","15.3","199"
"Raahe Nahkiainen","2020","1","5","22:00","16.4","199"
"Raahe Nahkiainen","2020","1","5","23:00","16.8","204"
"Raahe Nahkiainen","2020","1","6","00:00","17.1","216"
"Raahe Nahkiainen","2020","1","6","01:00","15.4","234"
"Raahe Nahkiainen","2020","1","6","02:00","13.1","245"
"Raahe Nahkiainen","2020","1","6","03:00","12.7","242"
"Raahe Nahkiainen","2020","1","6","04:00","12.6","239"
"Raahe Nahkiainen","2020","1","6","05:00","11.5","236"
"Raahe Nahkiainen","2020","1","6","06:00","11.8","230"
"Raahe Nahkiainen","2020","1","6","07:00","12.2","231"
"Raahe Nahkiainen","2020","1","6","08:00","11.1","229"
"Raahe Nahkiainen","2020","1","6","09:00","10.6","224"
"Raahe Nahkiainen","2020","1","6","10:00","9.8","229"
"Raahe Nahkiainen","2020","1","6","11:00","8.2","260"
"Raahe Nahkiainen","2020","1","6","12:00","6.8","236"
